iter	Passed	Remaining
402	12278	33423
403	12308	33392
404	12339	33362
405	12370	33333
406	12399	33298
407	12428	33265
408	12461	33240
409	12497	33224
410	12528	33196
411	12558	33163
412	12586	33127
413	12615	33094
414	12645	33060
415	12675	33030
416	12710	33011
417	12739	32976
418	12768	32942
419	12805	32929
420	12835	32897
421	12866	32867
422	12899	32843
423	12930	32813
424	12960	32782
425	12990	32751
426	13021	32720
427	13052	32692
428	13082	32661
429	13110	32623
430	13142	32596
431	13171	32563
432	13204	32538
433	13234	32507
434	13269	32487
435	13302	32463
436	13335	32438
437	13365	32406
438	13394	32373
439	13426	32344
440	13455	32310
441	13487	32283
442	13518	32254
443	13550	32227
444	13583	32203
445	13612	32169
446	13644	32142
447	13674	32110
448	13704	32078
449	13741	32064
450	13771	32030
451	13801	31998
452	13831	31967
453	13862	31937
454	13896	31916
455	13927	31887
456	13959	31858
457	13990	31829
458	14020	31797
459	14048	31761
460	14079	31732
461	14109	31700
462	14137	31663
463	14165	31628
464	14195	31596
465	14226	31566
466	14257	31537
467	14286	31503
468	14324	31488
469	14354	31456
470	14383	31424
471	14411	31387
472	14449	31372
473	14484	31353
474	14523	31339
475	14560	31324
476	14595	31302
477	14631	31283
478	14666	31262
479	14700	31238
480	14739	31224
481	14777	31210
482	14813	31190
483	14848	31168
484	14882	31146
485	14916	31122
486	14954	31105
487	14987	31080
488	15023	31060
489	15060	31043
490	15099	31028
491	15138	31015
492	15174	30994
493	15207	30969
494	15245	30952
495	15283	30937
496	15320	30919
497	15357	30899
498	15395	30883
499	15428	30857
500	15457	30823
501	15487	30789
502	15521	30764
503	15549	30728
504	15580	30697
505	15611	30666
506	15641	30636
507	15672	30603
508	15702	30571
509	15732	30539
510	15762	30506
511	15794	30477
512	15823	30444
513	15852	30408
514	15887	30386
515	15919	30357
516	15947	30322
517	15978	30291
518	16010	30262
519	16042	30233
520	16072	30201
521	16105	30174
522	16134	30140
523	16165	30108
524	16198	30082
525	16230	30053
526	16262	30025
527	16294	29996
528	16326	29968
529	16363	29948
530	16394	29916
531	16429	29894
532	16462	29866
533	16494	29838
534	16525	29807
535	16556	29777
536	16587	29747
537	16617	29714
538	16647	29680
539	16676	29647
540	16705	29613
541	16735	29580
542	16766	29550
543	16798	29520
544	16826	29484
545	16862	29462
546	16893	29432
547	16923	29399
548	16955	29371
549	16989	29345
550	17020	29314
551	17048	29279
552	17084	29257
553	17114	29224
554	17143	29190
555	17173	29157
556	17206	29130
557	17236	29097
558	17267	29067
559	17298	29036
560	17327	29002
561	17355	28967
562	17387	28937
563	17419	28909
564	17448	28874
565	17477	28840
566	17505	28805
567	17535	28772
568	17564	28739
569	17595	28708
570	17624	28675
571	17653	28640
572	17683	28608
573	17715	28579
574	17747	28551
575	17778	28520
576	17808	28487
577	17839	28456
578	17870	28425
579	17905	28402
580	17939	28376
581	17977	28356
582	18009	28326
583	18040	28297
584	18072	28267
585	18103	28236
586	18135	28207
587	18166	28176
588	18196	28144
589	18227	28113
590	18257	28081
591	18289	28051
592	18320	28021
593	18355	27996
594	18389	27970
595	18421	27941
596	18451	27909
597	18482	27878
598	18512	27845
599	18543	27815
600	18574	27784
601	18607	27756
602	18639	27726
603	18669	27695
604	18699	27662
605	18737	27642
606	18769	27612
607	18803	27586
608	18836	27558
609	18868	27529
610	18898	27496
611	18930	27468
612	18963	27439
613	18995	27410
614	19023	27375
615	19055	27345
616	19089	27319
617	19123	27293
618	19154	27261
619	19183	27227
620	19213	27195
621	19241	27160
622	19270	27126
623	19301	27096
624	19331	27064
625	19363	27035
626	19393	27001
627	19426	26974
628	19461	26949
629	19497	26925
630	19526	26892
631	19554	26856
632	19588	26829
633	19620	26799
634	19650	26767
635	19681	26736
636	19712	26706
637	19742	26673
638	19772	26642
639	19802	26609
640	19835	26580
641	19863	26547
642	19898	26521
643	19932	26494
644	19967	26469
645	20001	26441
646	20038	26418
647	20075	26395
648	20110	26370
649	20145	26344
650	20178	26315
651	20215	26292
652	20252	26269
653	20298	26257
654	20332	26230
655	20365	26202
656	20402	26179
657	20438	26154
658	20473	26128
659	20508	26101
660	20542	26074
661	20593	26068
662	20633	26049
663	20673	26028
664	20712	26007
665	20748	25982
666	20784	25956
667	20817	25927
668	20849	25898
669	20879	25865
670	20912	25837
671	20954	25819
672	20987	25789
673	21025	25767
674	21060	25740
675	21096	25715
676	21133	25690
677	21166	25662
678	21199	25632
679	21230	25601
680	21262	25571
681	21290	25536
682	21321	25504
683	21350	25470
684	21379	25437
685	21410	25405
686	21437	25368
687	21467	25336
688	21496	25303
689	21527	25271
690	21561	25243
691	21596	25216
692	21631	25190
693	21664	25160
694	21695	25129
695	21731	25103
696	21762	25071
697	21795	25043
698	21824	25009
699	21857	24979
700	21886	24946
701	21917	24914
702	21949	24884
703	21979	24851
704	22011	24821
705	22050	24799
706	22079	24765
707	22115	24739
708	22160	24723
709	22193	24694
710	22230	24669
711	22264	24641
712	22295	24609
713	22330	24582
714	22366	24556
715	22399	24526
716	22434	24499
717	22468	24471
718	22503	24443
719	22541	24420
720	22574	24391
721	22602	24356
722	22633	24324
723	22663	24291
724	22692	24257
725	22721	24223
726	22751	24191
727	22785	24162
728	22817	24132
729	22849	24101
730	22881	24070
731	22917	24044
732	22949	24014
733	22976	23978
734	23005	23944
735	23037	23914
736	23074	23888
737	23105	23857
738	23136	23825
739	23171	23797
740	23207	23771
741	23241	23742
742	23280	23719
743	23310	23686
744	23342	23655
745	23374	23624
746	23408	23596
747	23440	23565
748	23472	23535
749	23504	23504
750	23534	23471
751	23567	23441
752	23601	23413
753	23630	23379
754	23658	23345
755	23687	23311
756	23716	23277
757	23748	23247
758	23777	23213
759	23809	23182
760	23840	23151
761	23868	23116
762	23901	23087
763	23933	23055
764	23963	23023
765	23997	22995
766	24026	22961
767	24057	22929
768	24088	22898
769	24128	22874
770	24155	22839
771	24187	22809
772	24223	22781
773	24265	22760
774	24307	22739
775	24343	22712
776	24381	22687
777	24422	22664
778	24457	22636
779	24489	22605
780	24520	22573
781	24559	22549
782	24592	22519
783	24626	22490
784	24662	22463
785	24697	22435
786	24753	22426
787	24792	22400
788	24830	22375
789	24867	22349
790	24902	22320
791	24940	22295
792	24971	22263
793	25011	22239
794	25054	22217
795	25096	22195
796	25142	22176
797	25181	22152
798	25224	22130
799	25258	22101
800	25291	22070
801	25326	22042
802	25360	22012
803	25391	21980
804	25424	21950
805	25453	21916
806	25481	21882
807	25510	21847
808	25540	21815
809	25570	21782
810	25600	21749
811	25634	21720
812	25670	21691
813	25709	21666
814	25743	21637
815	25791	21619
816	25829	21593
817	25869	21568
818	25908	21542
819	25948	21517
820	25985	21490
821	26018	21460
822	26052	21431
823	26087	21401
824	26120	21371
825	26159	21345
826	26193	21316
827	26226	21285
828	26262	21257
829	26293	21224
830	26324	21192
831	26360	21164
832	26397	21136
833	26432	21108
834	26466	21078
835	26500	21048
836	26536	21019
837	26567	20987
838	26604	20960
839	26637	20929
840	26668	20897
841	26703	20867
842	26739	20839
843	26771	20807
844	26803	20776
845	26835	20745
846	26868	20714
847	26898	20681
848	26934	20653
849	26970	20624
850	26999	20590
851	27036	20562
852	27076	20537
853	27113	20510
854	27147	20479
855	27191	20457
856	27225	20427
857	27264	20400
858	27301	20372
859	27339	20345
860	27377	20318
861	27416	20292
862	27452	20262
863	27483	20231
864	27515	20199
865	27545	20166
866	27582	20138
867	27616	20107
868	27652	20078
869	27690	20051
870	27728	20024
871	27766	19997
872	27800	19966
873	27833	19935
874	27867	19905
875	27896	19871
876	27925	19837
877	27955	19804
878	27982	19769
879	28009	19733
880	28036	19698
881	28062	19662
882	28090	19628
883	28118	19593
884	28146	19559
885	28182	19530
886	28207	19494
887	28234	19458
888	28258	19421
889	28292	19391
890	28318	19355
891	28348	19322
892	28375	19287
893	28406	19255
894	28436	19222
895	28464	19188
896	28492	19153
897	28519	19118
898	28546	19084
899	28581	19054
900	28610	19020
901	28643	18990
902	28679	18960
903	28709	18927
904	28738	18894
905	28769	18861
906	28797	18828
907	28827	18794
908	28859	18763
909	28891	18732
910	28922	18699
911	28952	18666
912	28983	18634
913	29013	18601
914	29044	18569
915	29072	18535
916	29104	18504
917	29137	18472
918	29162	18436
919	29187	18400
920	29217	18368
921	29249	18336
922	29280	18304
923	29313	18273
924	29344	18241
925	29373	18207
926	29404	18175
927	29442	18147
928	29471	18114
929	29506	18084
930	29536	18051
931	29566	18018
932	29594	17985
933	29623	17952
934	29654	17919
935	29681	17885
936	29709	17851
937	29738	17817
938	29765	17783
939	29795	17750
940	29829	17720
941	29854	17684
942	29881	17649
943	29911	17617
944	29938	17583
945	29966	17549
946	29997	17517
947	30026	17483
948	30053	17449
949	30081	17415
950	30115	17385
951	30141	17350
952	30173	17319
953	30206	17288
954	30235	17255
955	30264	17221
956	30294	17188
957	30321	17154
958	30353	17123
959	30383	17090
960	30408	17055
961	30438	17022
962	30469	16990
963	30497	16956
964	30524	16922
965	30550	16888
966	30581	16856
967	30609	16822
968	30635	16787
969	30660	16752
970	30687	16718
971	30715	16684
972	30744	16652
973	30776	16620
974	30807	16588
975	30838	16556
976	30869	16524
977	30897	16491
978	30927	16458
979	30955	16425
980	30984	16392
981	31012	16359
982	31041	16326
983	31078	16297
984	31108	16264
985	31140	16233
986	31167	16199
987	31196	16166
988	31227	16134
989	31256	16101
990	31285	16068
991	31314	16035
992	31341	16002
993	31367	15967
994	31391	15932
995	31421	15899
996	31447	15865
997	31474	15831
998	31503	15799
999	31531	15765
1000	31558	15731
1001	31588	15699
1002	31619	15667
1003	31650	15635
1004	31683	15605
1005	31712	15572
1006	31745	15541
1007	31774	15508
1008	31802	15475
1009	31830	15442
1010	31862	15411
1011	31892	15378
1012	31925	15348
1013	31956	15316
1014	31986	15284
1015	32015	15251
1016	32050	15221
1017	32080	15189
1018	32110	15157
1019	32150	15129
1020	32186	15100
1021	32219	15069
1022	32252	15038
1023	32283	15006
1024	32317	14976
1025	32349	14945
1026	32384	14914
1027	32411	14881
1028	32437	14847
1029	32469	14816
1030	32506	14787
1031	32539	14756
1032	32572	14725
1033	32604	14694
1034	32637	14663
1035	32668	14631
1036	32698	14599
1037	32727	14566
1038	32754	14533
1039	32780	14499
1040	32808	14466
1041	32836	14432
1042	32862	14398
1043	32890	14366
1044	32926	14336
1045	32956	14304
1046	32992	14274
1047	33022	14242
1048	33061	14214
1049	33092	14182
1050	33125	14151
1051	33153	14118
1052	33184	14086
1053	33211	14053
1054	33240	14020
1055	33267	13987
1056	33293	13953
1057	33322	13921
1058	33353	13889
1059	33382	13856
1060	33410	13824
1061	33438	13791
1062	33469	13759
1063	33498	13726
1064	33527	13694
1065	33559	13662
1066	33591	13631
1067	33624	13600
1068	33653	13568
1069	33679	13534
1070	33710	13503
1071	33739	13470
1072	33765	13436
1073	33792	13403
1074	33820	13370
1075	33847	13337
1076	33872	13303
1077	33908	13273
1078	33939	13242
1079	33970	13210
1080	34005	13180
1081	34037	13149
1082	34076	13120
1083	34110	13090
1084	34139	13058
1085	34171	13026
1086	34207	12997
1087	34245	12968
1088	34279	12937
1089	34311	12905
1090	34338	12873
1091	34369	12841
1092	34403	12810
1093	34432	12778
1094	34468	12748
1095	34502	12717
1096	34532	12686
1097	34564	12654
1098	34596	12623
1099	34629	12592
1100	34660	12560
1101	34690	12528
1102	34717	12495
1103	34744	12462
1104	34774	12430
1105	34804	12398
1106	34833	12366
1107	34861	12333
1108	34890	12301
1109	34919	12268
1110	34947	12236
1111	34976	12204
1112	35004	12171
1113	35031	12138
1114	35058	12105
1115	35094	12075
1116	35120	12042
1117	35149	12009
1118	35178	11977
1119	35205	11944
1120	35234	11912
1121	35263	11880
1122	35293	11848
1123	35319	11815
1124	35349	11783
1125	35376	11750
1126	35404	11717
1127	35432	11685
1128	35464	11653
1129	35494	11622
1130	35523	11590
1131	35557	11559
1132	35591	11528
1133	35625	11498
1134	35657	11466
1135	35684	11434
1136	35715	11402
1137	35743	11370
1138	35771	11337
1139	35798	11304
1140	35827	11272
1141	35853	11239
1142	35883	11207
1143	35916	11176
1144	35946	11144
1145	35974	11112
1146	36004	11080
1147	36032	11048
1148	36059	11015
1149	36087	10983
1150	36114	10950
1151	36142	10918
1152	36172	10886
1153	36199	10853
1154	36228	10821
1155	36258	10789
1156	36285	10757
1157	36315	10725
1158	36347	10694
1159	36378	10662
1160	36408	10630
1161	36437	10598
1162	36467	10567
1163	36503	10537
1164	36531	10504
1165	36565	10474
1166	36597	10443
1167	36627	10411
1168	36662	10380
1169	36694	10349
1170	36725	10318
1171	36757	10286
1172	36790	10256
1173	36825	10225
1174	36859	10195
1175	36890	10163
1176	36920	10131
1177	36952	10100
1178	36981	10068
1179	37010	10036
1180	37043	10005
1181	37078	9975
1182	37109	9943
1183	37143	9913
1184	37178	9882
1185	37211	9851
1186	37241	9820
1187	37272	9788
1188	37305	9757
1189	37338	9726
1190	37370	9695
1191	37407	9665
1192	37436	9633
1193	37470	9603
1194	37499	9571
1195	37530	9539
1196	37562	9508
1197	37590	9475
1198	37616	9443
1199	37644	9411
1200	37677	9380
1201	37711	9349
1202	37743	9318
1203	37772	9286
1204	37800	9254
1205	37828	9221
1206	37860	9190
1207	37890	9159
1208	37919	9126
1209	37949	9095
1210	37981	9064
1211	38017	9033
1212	38046	9001
1213	38076	8970
1214	38107	8938
1215	38142	8908
1216	38174	8877
1217	38202	8844
1218	38233	8813
1219	38261	8781
1220	38292	8749
1221	38321	8717
1222	38353	8686
1223	38482	8677
1224	38514	8646
1225	38550	8615
1226	38580	8583
1227	38607	8551
1228	38637	8519
1229	38669	8488
1230	38698	8456
1231	38730	8425
1232	38761	8393
1233	38789	8361
1234	38820	8329
1235	38851	8298
1236	38890	8268
1237	38924	8237
1238	39012	8218
1239	39040	8186
1240	39068	8153
1241	39101	8122
1242	39403	8147
1243	39440	8116
1244	39478	8085
1245	39512	8054
1246	39548	8023
1247	39583	7992
1248	39614	7961
1249	39649	7929
1250	39740	7909
1251	39791	7882
1252	39828	7851
1253	39865	7820
1254	39903	7789
1255	39937	7758
1256	40036	7739
1257	40075	7709
1258	40102	7676
1259	40131	7644
1260	40160	7611
1261	40188	7579
1262	40221	7547
1263	40248	7514
1264	40283	7483
1265	40310	7450
1266	40487	7445
1267	40533	7416
1268	40579	7386
1269	40609	7354
1270	40638	7321
1271	40669	7289
1272	40699	7257
1273	40730	7225
1274	40765	7193
1275	40802	7162
1276	40837	7131
1277	40869	7099
1278	40897	7066
1279	40928	7034
1280	40956	7001
1281	40987	6969
1282	41016	6937
1283	41046	6905
1284	41077	6872
1285	41108	6840
1286	41144	6809
1287	41169	6776
1288	41196	6743
1289	41223	6710
1290	41249	6677
1291	41280	6645
1292	41321	6615
1293	41349	6582
1294	41375	6549
1295	41400	6516
1296	41430	6484
1297	41459	6452
1298	41488	6419
1299	41517	6387
1300	41556	6356
1301	41606	6327
1302	41631	6294
1303	41658	6261
1304	41684	6228
1305	41720	6197
1306	41751	6165
1307	41781	6133
1308	41821	6102
1309	41857	6070
1310	41892	6039
1311	41928	6008
1312	41968	5977
1313	42000	5945
1314	42034	5913
1315	42068	5881
1316	42102	5850
1317	42136	5818
1318	42168	5786
1319	42198	5754
1320	42417	5747
1321	42450	5715
1322	42478	5683
1323	42512	5651
1324	42543	5618
1325	42575	5586
1326	42602	5554
1327	42633	5521
1328	42667	5489
1329	42700	5457
1330	42732	5425
1331	42761	5393
1332	42790	5360
1333	42825	5329
1334	42865	5298
1335	42892	5265
1336	42920	5232
1337	42948	5200
1338	42979	5167
1339	43008	5135
1340	43035	5102
1341	43061	5069
1342	43086	5036
1343	43112	5004
1344	43140	4971
1345	43168	4939
1346	43195	4906
1347	43224	4874
1348	43254	4841
1349	43280	4808
1350	43311	4776
1351	43338	4744
1352	43366	4711
1353	43394	4679
1354	43422	4646
1355	43449	4614
1356	43474	4581
1357	43503	4548
1358	43533	4516
1359	43562	4484
1360	43592	4452
1361	43619	4419
1362	43648	4387
1363	43676	4354
1364	43708	4322
1365	43739	4290
1366	43770	4258
1367	43804	4226
1368	43837	4194
1369	43869	4162
1370	43899	4130
1371	43929	4098
1372	43961	4066
1373	43996	4034
1374	44027	4002
1375	44062	3970
1376	44092	3938
1377	44121	3906
1378	44150	3873
1379	44177	3841
1380	44208	3809
1381	44237	3777
1382	44267	3744
1383	44305	3713
1384	44371	3684
1385	44404	3652
1386	44432	3619
1387	44463	3587
1388	44490	3555
1389	44516	3522
1390	44545	3490
1391	44573	3458
1392	44600	3425
1393	44630	3393
1394	44657	3361
1395	44688	3329
1396	44720	3297
1397	44747	3264
1398	44777	3232
1399	44809	3200
