iter	Passed	Remaining
400	21510	58952
401	21560	58889
402	21609	58821
403	21662	58766
404	21719	58723
405	21767	58655
406	21823	58607
407	21879	58559
408	21925	58486
409	21995	58475
410	22036	58389
411	22082	58315
412	22133	58255
413	22184	58193
414	22249	58170
415	22303	58117
416	22356	58062
417	22420	58035
418	22471	57975
419	22518	57904
420	22567	57839
421	22623	57791
422	22674	57730
423	22715	57645
424	22762	57575
425	22810	57507
426	22853	57426
427	22906	57372
428	22957	57312
429	23014	57267
430	23062	57201
431	23119	57155
432	23166	57086
433	23237	57076
434	23294	57031
435	23342	56964
436	23392	56901
437	23451	56862
438	23511	56823
439	23562	56763
440	23621	56724
441	23662	56640
442	23722	56603
443	23775	56546
444	23825	56486
445	23875	56423
446	23929	56370
447	23981	56313
448	24036	56264
449	24084	56197
450	24144	56159
451	24199	56109
452	24249	56045
453	24290	55963
454	24343	55910
455	24399	55862
456	24451	55805
457	24507	55757
458	24550	55679
459	24600	55619
460	24654	55565
461	24703	55503
462	24750	55434
463	24798	55368
464	24837	55282
465	24882	55211
466	24930	55147
467	24974	55072
468	25014	54989
469	25071	54943
470	25117	54874
471	25175	54831
472	25218	54755
473	25273	54705
474	25326	54651
475	25370	54578
476	25417	54512
477	25476	54469
478	25512	54380
479	25565	54327
480	25608	54251
481	25651	54175
482	25687	54088
483	25737	54026
484	25778	53948
485	25818	53867
486	25873	53819
487	25923	53758
488	25971	53695
489	26013	53618
490	26058	53549
491	26099	53473
492	26147	53408
493	26198	53351
494	26241	53277
495	26290	53216
496	26333	53143
497	26383	53085
498	26419	52998
499	26461	52922
500	26501	52844
501	26551	52786
502	26588	52700
503	26637	52641
504	26677	52563
505	26717	52484
506	26765	52423
507	26812	52358
508	26863	52302
509	26911	52240
510	26949	52157
511	26985	52073
512	27032	52010
513	27080	51948
514	27122	51875
515	27164	51802
516	27208	51732
517	27256	51671
518	27302	51605
519	27345	51536
520	27398	51483
521	27437	51405
522	27476	51328
523	27525	51268
524	27565	51193
525	27604	51115
526	27649	51050
527	27704	51001
528	27756	50948
529	27805	50889
530	27841	50806
531	27885	50739
532	27929	50671
533	27977	50610
534	28024	50549
535	28066	50477
536	28102	50395
537	28138	50315
538	28189	50259
539	28224	50177
540	28276	50124
541	28326	50067
542	28371	50003
543	28413	49932
544	28462	49874
545	28501	49799
546	28553	49747
547	28602	49689
548	28648	49626
549	28692	49560
550	28744	49507
551	28783	49433
552	28837	49384
553	28885	49324
554	28932	49262
555	28974	49194
556	29014	49121
557	29069	49074
558	29115	49011
559	29167	48960
560	29214	48899
561	29251	48822
562	29297	48759
563	29340	48692
564	29376	48614
565	29412	48535
566	29461	48479
567	29510	48421
568	29551	48351
569	29601	48296
570	29644	48230
571	29698	48181
572	29745	48123
573	29789	48058
574	29830	47988
575	29883	47938
576	29950	47910
577	29995	47846
578	30035	47776
579	30078	47710
580	30122	47646
581	30181	47605
582	30231	47551
583	30291	47512
584	30337	47450
585	30384	47391
586	30437	47341
587	30477	47271
588	30522	47208
589	30566	47145
590	30628	47109
591	30669	47040
592	30730	47002
593	30781	46949
594	30826	46887
595	30866	46818
596	30913	46758
597	30964	46705
598	31010	46644
599	31061	46591
600	31099	46520
601	31147	46462
602	31199	46411
603	31248	46355
604	31294	46295
605	31339	46233
606	31393	46184
607	31434	46117
608	31485	46064
609	31536	46012
610	31589	45962
611	31650	45924
612	31688	45852
613	31738	45798
614	31777	45728
615	31816	45659
616	31870	45611
617	31934	45575
618	31971	45503
619	32008	45431
620	32058	45377
621	32110	45326
622	32153	45262
623	32201	45206
624	32249	45149
625	32298	45094
626	32353	45046
627	32403	44993
628	32461	44950
629	32500	44882
630	32556	44836
631	32598	44771
632	32638	44704
633	32683	44643
634	32731	44587
635	32780	44532
636	32828	44475
637	32866	44405
638	32911	44345
639	32969	44302
640	33018	44248
641	33070	44197
642	33119	44142
643	33168	44087
644	33220	44036
645	33269	43981
646	33324	43935
647	33373	43879
648	33412	43811
649	33457	43752
650	33517	43711
651	33557	43645
652	33596	43578
653	33639	43515
654	33689	43461
655	33733	43401
656	33789	43355
657	33829	43288
658	33877	43233
659	33937	43192
660	33980	43130
661	34042	43092
662	34083	43028
663	34138	42982
664	34179	42917
665	34218	42850
666	34261	42787
667	34321	42747
668	34361	42681
669	34398	42613
670	34443	42553
671	34489	42495
672	34542	42446
673	34597	42399
674	34634	42331
675	34685	42278
676	34739	42231
677	34797	42187
678	34842	42129
679	34881	42062
680	34928	42007
681	34970	41943
682	35016	41886
683	35053	41817
684	35110	41774
685	35156	41715
686	35197	41652
687	35249	41602
688	35290	41538
689	35339	41485
690	35378	41419
691	35428	41367
692	35475	41310
693	35511	41241
694	35552	41179
695	35604	41129
696	35659	41083
697	35701	41021
698	35749	40966
699	35799	40913
700	35846	40858
701	35898	40807
702	35954	40762
703	36007	40713
704	36061	40665
705	36099	40598
706	36144	40540
707	36192	40486
708	36235	40425
709	36278	40365
710	36330	40316
711	36368	40250
712	36435	40216
713	36481	40160
714	36522	40097
715	36575	40049
716	36612	39983
717	36666	39934
718	36720	39887
719	36762	39825
720	36803	39763
721	36848	39706
722	36885	39640
723	36931	39584
724	36980	39531
725	37020	39468
726	37075	39421
727	37111	39354
728	37157	39298
729	37206	39244
730	37255	39191
731	37300	39134
732	37341	39074
733	37380	39010
734	37421	38949
735	37457	38882
736	37509	38833
737	37550	38771
738	37590	38709
739	37626	38643
740	37671	38586
741	37717	38530
742	37760	38471
743	37801	38411
744	37849	38357
745	37899	38306
746	37946	38251
747	38006	38209
748	38042	38143
749	38091	38091
750	38145	38043
751	38199	37996
752	38254	37949
753	38301	37895
754	38352	37844
755	38406	37797
756	38442	37731
757	38492	37679
758	38530	37616
759	38565	37550
760	38618	37501
761	38661	37443
762	38706	37387
763	38745	37325
764	38797	37275
765	38843	37220
766	38877	37154
767	38913	37089
768	38959	37034
769	39013	36986
770	39048	36921
771	39096	36868
772	39151	36821
773	39195	36765
774	39233	36702
775	39269	36637
776	39312	36580
777	39354	36522
778	39391	36458
779	39438	36404
780	39476	36343
781	39515	36281
782	39555	36221
783	39589	36155
784	39636	36101
785	39690	36054
786	39738	36001
787	39773	35937
788	39821	35884
789	39865	35828
790	39903	35767
791	39946	35709
792	39987	35650
793	40027	35591
794	40073	35536
795	40128	35490
796	40168	35430
797	40210	35372
798	40264	35325
799	40307	35268
800	40346	35208
801	40395	35157
802	40435	35097
803	40487	35048
804	40526	34988
805	40579	34940
806	40617	34879
807	40660	34822
808	40702	34766
809	40750	34713
810	40790	34654
811	40842	34605
812	40886	34549
813	40930	34494
814	40980	34443
815	41028	34391
816	41074	34337
817	41125	34287
818	41170	34232
819	41220	34183
820	41271	34133
821	41323	34084
822	41359	34022
823	41411	33973
824	41455	33918
825	41499	33862
826	41541	33805
827	41581	33747
828	41630	33696
