iter	MultiClass	F1:class=0	F1:class=1	F1:class=2	F1:class=3	F1:class=4	F1:class=5
33	1.365394177	0.2659591319	0.5329877895	0.4444463586	0.1617117117	0.1242451497	0.001261034048
34	1.36396819	0.266239164	0.5334536087	0.4445383441	0.16268465	0.1304569824	0.0006307158625
35	1.36196783	0.2701977345	0.5339771887	0.4447858851	0.163905003	0.1320670533	0.0006307158625
36	1.360476908	0.2730854081	0.5346698996	0.4455729437	0.1657341987	0.1328502415	0.0006307158625
37	1.359228125	0.2767951684	0.5349965801	0.4454974664	0.1676283993	0.1346361271	0.0006307158625
38	1.358052034	0.2791625905	0.5354492355	0.4457074639	0.1683433083	0.1357093031	0.0006307158625
39	1.356465549	0.283610007	0.5355382959	0.4459485191	0.1696658098	0.1371804606	0.0006307158625
40	1.355051892	0.286655556	0.5357892587	0.4462543259	0.1728324976	0.1402358282	0.0006307158625
41	1.353920749	0.2884332689	0.5362428998	0.4466290672	0.1734005673	0.1416352201	0.0006307158625
42	1.352810288	0.2894044857	0.5366862261	0.447095625	0.1761677549	0.1425700289	0.0006307158625
43	1.351637578	0.2936642516	0.537272415	0.4471425217	0.1776776777	0.1436464088	0.0006307158625
44	1.350390585	0.296652189	0.5377621748	0.4469461495	0.1792703099	0.1459963689	0.0006307158625
45	1.349119925	0.298888463	0.5377437952	0.4469121576	0.1811623496	0.1469632592	0.000630517024
46	1.34808514	0.3004357465	0.5379485291	0.4472764753	0.181982094	0.1491533865	0.001260636621
47	1.347313178	0.3024089038	0.5382291539	0.4476130565	0.1821235305	0.1507581407	0.001260636621
48	1.346269144	0.3040997946	0.5386127584	0.4481066471	0.1845533499	0.1532457879	0.001260636621
49	1.345364925	0.3060690022	0.5385806896	0.4482758621	0.1858014936	0.1556804843	0.001890359168
50	1.344064433	0.3087339713	0.5390130262	0.4489302635	0.1875154665	0.1570706448	0.001890359168
51	1.343314348	0.3105102156	0.5390763474	0.4490056943	0.1873995301	0.1577489071	0.001890359168
52	1.342325803	0.3123822443	0.5390952925	0.4492577184	0.1881836722	0.1591048813	0.001890359168
53	1.341439284	0.3135691995	0.5394855781	0.449731416	0.188866922	0.1610450141	0.001890359168
54	1.340492902	0.3139141547	0.5399725602	0.4502044469	0.190385208	0.1614541894	0.001890359168
55	1.339534687	0.3145485264	0.54041043	0.4502240576	0.1910851522	0.1634820829	0.001890359168
56	1.338822986	0.3150386666	0.5402819448	0.4501769826	0.1913513846	0.16453226	0.00188976378
57	1.338070912	0.3164324527	0.5405894349	0.4505737835	0.1913860899	0.1660377358	0.00188976378
58	1.337248931	0.3175911015	0.5407442764	0.4510260579	0.1941396432	0.1674972651	0.002518891688
59	1.33638767	0.3219144891	0.5407895062	0.4512794367	0.1952818627	0.1686483863	0.003147623544
60	1.335604173	0.3218836152	0.5407480639	0.4511975232	0.1962931245	0.1683264513	0.003147623544
61	1.334885511	0.3232308207	0.5408243157	0.4514010546	0.1974841231	0.1700090882	0.003775959723
62	1.334125482	0.323551263	0.5409225086	0.4515032196	0.1993482961	0.1704600484	0.003775959723
63	1.333333035	0.3252279635	0.5410836853	0.4516817092	0.1999756721	0.1715425532	0.003775959723
64	1.332863772	0.3262889078	0.5411411213	0.4520694	0.2001703059	0.1718844434	0.003775959723
65	1.332164402	0.3267374339	0.5413962245	0.4522565237	0.2014952589	0.172863351	0.003775959723
66	1.331426548	0.3296225302	0.5418987028	0.4522677767	0.2019545951	0.173603571	0.004403900598
67	1.330427661	0.3307202532	0.5422226632	0.4524107978	0.203803937	0.1756732333	0.004403900598
68	1.329462186	0.3335783593	0.5427557864	0.4527212026	0.2047068064	0.1756244358	0.004403900598
69	1.328921027	0.3341043434	0.5429051231	0.4530318421	0.2050073994	0.1759682463	0.006285355123
70	1.328398662	0.3350685534	0.5428384673	0.4530069374	0.2055025944	0.1760355919	0.005658597925
71	1.327840499	0.334775594	0.5428039856	0.4531917717	0.2058104806	0.1794656763	0.006911718505
72	1.327202683	0.3359806756	0.5433218073	0.4536113496	0.2068092036	0.18095865	0.007537688442
73	1.326517334	0.3367212635	0.5433282018	0.4538203451	0.2076034852	0.1838244065	0.008788449466
74	1.325865298	0.3376073059	0.5433609272	0.4539962084	0.2096648011	0.1847437426	0.008163265306
75	1.325210875	0.3393072234	0.5436669648	0.4543683129	0.2105326476	0.1854896355	0.008788449466
76	1.324527416	0.3402719551	0.5440705062	0.4545688226	0.2115222876	0.1858222725	0.008788449466
77	1.323865435	0.3413391557	0.5441013145	0.4547244094	0.212193951	0.18704694	0.01003764115
78	1.323003877	0.3430272665	0.5447217846	0.4546994899	0.2130464747	0.1874554526	0.01066164942
79	1.322537995	0.3428156222	0.5448949796	0.4550356522	0.2135265411	0.186850389	0.01066164942
80	1.321794373	0.3435752161	0.545576652	0.4556233514	0.2149490847	0.1874851579	0.01003764115
81	1.321300747	0.3444577309	0.5459944098	0.455770222	0.2154691185	0.1887776264	0.01003764115
82	1.320804436	0.3452721544	0.5459387704	0.4558181705	0.2162774746	0.1896980462	0.01190849264
83	1.320149218	0.3468952298	0.54615474	0.4558586909	0.2172461089	0.190425469	0.01190849264
84	1.319613826	0.3495362852	0.5462726963	0.4559999289	0.2177061295	0.1906170502	0.01190849264
85	1.319167235	0.3493140794	0.5465729204	0.4560760305	0.2175413543	0.1908929627	0.01190849264
86	1.318515796	0.3494697352	0.5469703638	0.4563399845	0.2186720513	0.1915283275	0.01315377388
87	1.317773865	0.351074166	0.5470355468	0.4564973562	0.2191171235	0.1926188367	0.01377582968
88	1.317291675	0.351933801	0.5471571016	0.4565437944	0.2191764566	0.1926231927	0.01439749609
89	1.31683693	0.3530552861	0.5474728311	0.4571138736	0.2197763076	0.1932327281	0.01439749609
90	1.316323714	0.353570531	0.5476285572	0.4573636509	0.220911973	0.1926275435	0.01439749609
91	1.315614897	0.3539803943	0.5478520415	0.4570526147	0.2230882787	0.1933470709	0.01501877347
92	1.315073638	0.3540528888	0.5481773432	0.4573259436	0.2240698154	0.1937647059	0.01439749609
93	1.314530789	0.3544203758	0.5486604952	0.4576681094	0.2236442452	0.1947723935	0.0150140757
94	1.314058244	0.3544367436	0.5486250281	0.4576265133	0.2243062314	0.1955169581	0.0150140757
95	1.313312634	0.3555029416	0.5488402265	0.4584126644	0.2261929293	0.1983509736	0.01439299124
96	1.312862762	0.3562547031	0.548805949	0.4585856237	0.227225962	0.1983509736	0.01562988434
97	1.312454058	0.3567056802	0.5490075319	0.458913786	0.2273234966	0.1983277788	0.01562988434
98	1.311899077	0.3582100222	0.5493748023	0.4592085018	0.2281536293	0.1987962368	0.01562988434
99	1.311408036	0.3586428571	0.5492449797	0.459235532	0.2290896285	0.2011309975	0.01623985009
100	1.310835553	0.359424635	0.5493843093	0.4593570578	0.2291110655	0.2025831976	0.01623985009
101	1.310290516	0.3604265487	0.5497064335	0.4596392455	0.2306544572	0.2036714302	0.01623477989
102	1.309793011	0.3612259444	0.550196588	0.4598760727	0.2303257339	0.2052500435	0.01747269891
103	1.309237632	0.3617119846	0.5501091321	0.4598672408	0.231273025	0.2054667593	0.0187090739
104	1.308846629	0.3616983352	0.5501720016	0.4599384428	0.2315992631	0.2085428588	0.01994390776
105	1.308386813	0.3626710376	0.5504316768	0.4600959207	0.2321381608	0.2088051768	0.01932668329
106	1.307948078	0.3628397393	0.5506575276	0.4603747822	0.2329462566	0.2088724584	0.01932668329
107	1.307514713	0.3630598211	0.550928625	0.460886126	0.2330210431	0.2093479515	0.0199376947
108	1.307053008	0.3635845562	0.5510841587	0.4609621345	0.2329462566	0.2094150225	0.0199376947
109	1.306611688	0.3639016405	0.5510369019	0.4611666187	0.2335638624	0.2102655683	0.0199376947
110	1.306196023	0.3645092461	0.5511704682	0.4614029886	0.2342898762	0.2101624611	0.0199376947
111	1.305869458	0.3653552262	0.5511824155	0.4615730216	0.2336829837	0.2110957643	0.0199376947
112	1.305559102	0.3654078657	0.55142221	0.461642137	0.2337140193	0.2110893823	0.01993148552
113	1.305142444	0.3666335086	0.5515860769	0.4615785735	0.2346745803	0.2120376752	0.01993148552
114	1.304726978	0.366227213	0.5517419699	0.4615647451	0.2357525006	0.2127879589	0.0199376947
115	1.304242998	0.3665412199	0.5518564233	0.4614636606	0.2361095001	0.2129124821	0.01932066064
116	1.303843642	0.3673831312	0.5518386002	0.4614206705	0.2364063452	0.2142120344	0.01931464174
117	1.303152128	0.3689334136	0.5519445835	0.4619015448	0.2369245042	0.2142202885	0.0199252802
118	1.302786184	0.3691120784	0.5520212393	0.4620705183	0.2378343912	0.214997138	0.02054154995
119	1.302365945	0.3698174614	0.552439788	0.4623660759	0.2382924498	0.2160832761	0.02054154995
120	1.302042662	0.3696759587	0.5526735401	0.4625303193	0.2396971273	0.2165408373	0.02053515868
121	1.301699092	0.3700063636	0.5527394801	0.4627593857	0.2403512826	0.2176769697	0.02115085537
122	1.301392416	0.3713851912	0.553081305	0.4628649248	0.2403373967	0.217346589	0.02115743622
123	1.301040593	0.371199548	0.553311665	0.4631533384	0.2410508083	0.2175005712	0.02115743622
124	1.30067097	0.3717975863	0.553155952	0.462854822	0.2408915064	0.2191796452	0.02115743622
125	1.300305324	0.3717975863	0.5533357266	0.4629539339	0.2408567387	0.2187357371	0.02115743622
126	1.29990925	0.3724936459	0.553815851	0.4630047881	0.2414787473	0.2187232586	0.02177293935
127	1.299525904	0.3725919131	0.5538178934	0.4632797962	0.2423106858	0.2194982896	0.02176616915
128	1.29928993	0.3724196337	0.553709967	0.463506287	0.2426826458	0.2197263398	0.02176616915
129	1.298875061	0.3729937564	0.5538559219	0.4638338225	0.2429707306	0.2203235361	0.02177293935
130	1.298354586	0.3736426456	0.5539999498	0.4643308879	0.2449003045	0.2206645011	0.0223880597
131	1.298044429	0.3736829122	0.5540267166	0.4644635418	0.245131269	0.2213870858	0.0223880597
132	1.297512816	0.3751275645	0.5542664514	0.4646523059	0.2453046924	0.222298066	0.02300995025
133	1.297036493	0.3753300243	0.5543911884	0.4647383169	0.2456432488	0.2231311066	0.02239502333
134	1.296712612	0.3751363141	0.5544037549	0.4647379409	0.2457882502	0.2233456404	0.02239502333
135	1.296237781	0.3763936271	0.5548842736	0.4647268387	0.2459880789	0.2234839882	0.02239502333
136	1.295884565	0.3759631285	0.5549166813	0.4651785149	0.2465769121	0.2241770715	0.02239502333
137	1.295466415	0.3758223974	0.5550340119	0.4652256915	0.2471877952	0.2247547769	0.02239502333
138	1.295035437	0.3759721294	0.5554486187	0.4656022434	0.2476168666	0.225972702	0.02239502333
139	1.29476615	0.3769176636	0.5555220732	0.4656235869	0.2475153945	0.2269383135	0.02239502333
140	1.294428547	0.3774354646	0.5556783364	0.4658309818	0.2480229226	0.2275374611	0.02239502333
141	1.294090149	0.37741686	0.555961152	0.4660394427	0.2481526035	0.2286876448	0.02239502333
142	1.293783571	0.3778144649	0.5560067994	0.4661919454	0.248102426	0.2279552896	0.02300995025
143	1.293354383	0.3788070175	0.5561817984	0.4662521157	0.2488117735	0.2289163423	0.02239502333
144	1.293047408	0.3791046871	0.5561492847	0.4664228422	0.2496279336	0.2303788904	0.02361715351
145	1.292642881	0.3794796269	0.5562665416	0.4662897936	0.2507003602	0.2306436173	0.02423112768
146	1.292208025	0.3799137357	0.5564157994	0.4666998867	0.2518696124	0.2313668093	0.0248447205
147	1.291988458	0.3804785762	0.5567266172	0.4670982931	0.2519266998	0.2310940931	0.0248447205
148	1.291591191	0.3811992155	0.5567890262	0.4671491852	0.2519981731	0.2328874902	0.02423112768
149	1.291238473	0.3817494222	0.5568561032	0.4670357049	0.2519837872	0.2331329701	0.0248447205
150	1.290953474	0.3818328256	0.557155791	0.466976643	0.2523529747	0.2330337079	0.02361715351
151	1.290574703	0.3822962989	0.5573234251	0.4675176328	0.2534088645	0.2339864144	0.02545003104
152	1.290254005	0.3818532142	0.5575997451	0.4675498971	0.2537721346	0.2343241727	0.02729528536
153	1.289903872	0.3822097706	0.5577268229	0.4678466505	0.2540007973	0.2353007118	0.02729528536
154	1.289538028	0.382053168	0.5582128602	0.4682244517	0.2539772889	0.235195249	0.02790697674
155	1.289238014	0.3825259031	0.5584399245	0.4684661797	0.2548400853	0.234984312	0.02790697674
156	1.288943171	0.3826360931	0.5585148772	0.4684534287	0.2552864939	0.2361375602	0.0278983261
157	1.288555151	0.3833344994	0.5583478728	0.4686124098	0.255639525	0.2364195804	0.0285182889
158	1.288154602	0.3835070294	0.5582995001	0.4691030624	0.2570828365	0.2373791021	0.02973056674
159	1.287835196	0.3837705491	0.5585423933	0.4691362513	0.2574184397	0.2372009837	0.02850061958
160	1.287531404	0.3844324778	0.5588334005	0.4695258773	0.2582364616	0.2380154207	0.02911117993
161	1.287251079	0.384601937	0.5591417691	0.469646152	0.2579493283	0.2375551707	0.02911117993
162	1.28703728	0.3847256705	0.5591699101	0.4695873478	0.2585434967	0.2382707775	0.02911117993
163	1.286696594	0.3848895723	0.5592675579	0.4696613081	0.2585415604	0.2383159305	0.02911117993
164	1.286441826	0.3857063015	0.5596079287	0.4698323261	0.2586934958	0.2384460817	0.02972136223
165	1.286172241	0.3855000524	0.559669746	0.469987275	0.2588908725	0.2389424954	0.02972136223
166	1.285835632	0.3865112058	0.5595788802	0.4699433683	0.2596954085	0.2389025206	0.0297029703
167	1.285529254	0.3875178889	0.5598125897	0.470128359	0.2598703761	0.2393400591	0.0297029703
168	1.28528791	0.3874053129	0.5599415573	0.4702652583	0.2601856043	0.2393667429	0.02973056674
169	1.284973477	0.387846229	0.5598078086	0.4705198004	0.2603429736	0.2394562371	0.03032178218
170	1.284689075	0.3883136353	0.5600819968	0.4707080072	0.2607022607	0.2401425707	0.03032178218
171	1.284413325	0.3885463476	0.5601714142	0.4707850357	0.2612778233	0.2406149048	0.03031240334
172	1.284146524	0.3896158129	0.5603173669	0.4706096286	0.2610859729	0.2407170294	0.02969378286
173	1.28378953	0.3902591755	0.560269564	0.4708098271	0.2619754133	0.2415211831	0.02969378286
174	1.283535557	0.3899112889	0.5602688511	0.4708184308	0.2619195747	0.242865075	0.02969378286
175	1.283277109	0.3902201509	0.5600685634	0.4706407071	0.2620884556	0.2425588627	0.02969378286
176	1.282963472	0.3902897089	0.56025473	0.4707265074	0.2628284651	0.2429086872	0.03092145949
177	1.282793527	0.3908053971	0.5603932112	0.4708444582	0.2634055623	0.2430902431	0.03092145949
178	1.282561431	0.391044361	0.5606121695	0.4710601406	0.2633580261	0.2432117275	0.0315301391
179	1.282287967	0.3908205841	0.5606812628	0.4711835663	0.2635003803	0.2437399367	0.03213844252
180	1.282031409	0.3910171731	0.5608334033	0.4713712619	0.2640808399	0.2439213945	0.0339610991
181	1.281766498	0.3908117876	0.5607285069	0.4715708086	0.2641052365	0.2452149792	0.03395061728
182	1.281462705	0.3908692933	0.5607985481	0.4717701866	0.2644358064	0.245285112	0.03334362458
183	1.281274164	0.3911200667	0.5608356232	0.4718593011	0.2646354856	0.2458552814	0.03454657619
184	1.281013927	0.3916380178	0.5609208923	0.4718443415	0.2642424242	0.2458589552	0.03454657619
185	1.280650568	0.392544773	0.5613127095	0.4720263453	0.2649428201	0.246109542	0.03515263645
186	1.280446515	0.3926129066	0.5613976118	0.4719681147	0.2651267606	0.2464843317	0.03455723542
187	1.280233114	0.3929290824	0.5613403839	0.4722077875	0.2654991835	0.246373602	0.03578038248
188	1.279904063	0.3938805245	0.5618285445	0.4724821686	0.2664639468	0.2464313378	0.03576934937
189	1.27961628	0.3938920701	0.5620360016	0.472784308	0.2666103366	0.2473326331	0.03757314444
190	1.279380505	0.394518647	0.5621741616	0.4729003839	0.26669294	0.2474010175	0.03756157635
191	1.279084866	0.3947158559	0.5622739279	0.4731831859	0.2671018938	0.247663293	0.03816558941
192	1.27886003	0.3955945001	0.5624410933	0.4732451382	0.2670793472	0.2473177746	0.0381773399
193	1.278567772	0.3967457158	0.5626808912	0.473359179	0.2674954995	0.2477748908	0.03878116343
194	1.278362326	0.3968578053	0.5626777989	0.4735939581	0.2681363176	0.2484115144	0.03879310345
195	1.278046799	0.3968297917	0.562769324	0.4738542408	0.2689358834	0.2486886423	0.03938461538
196	1.2778688	0.397203862	0.5628966283	0.473899394	0.2690288345	0.2484808308	0.03938461538
197	1.277476305	0.397203862	0.5628402885	0.4737298739	0.269751788	0.2492964741	0.03937250077
198	1.277184047	0.397396843	0.562871933	0.4738884678	0.2699217984	0.2492136196	0.0405654579
199	1.276892187	0.39781451	0.5631896573	0.4740789462	0.2707550872	0.2502205558	0.039408867
200	1.276667947	0.3977869986	0.563309625	0.4741785753	0.2711864407	0.2499035441	0.03939673746
201	1.276348343	0.3979263867	0.5631447314	0.4743925951	0.2722135184	0.2497242444	0.04119274516
202	1.276083432	0.398258526	0.563384789	0.4743941222	0.2724399318	0.2503858875	0.04057792807
203	1.275920945	0.398908048	0.5634988801	0.4742931296	0.2723330442	0.2505652054	0.04116743472
204	1.275626897	0.3987147151	0.5635913584	0.4745366139	0.2723049368	0.2505925803	0.0405654579
205	1.275468189	0.3990469284	0.5637259443	0.4749170604	0.2727832168	0.2505649562	0.0393603936
206	1.275255186	0.3988259669	0.5637357731	0.4750635063	0.2727450706	0.2507988981	0.0393603936
207	1.275016825	0.3990467638	0.5637104652	0.47467203	0.2727654217	0.251156133	0.0393603936
208	1.27483276	0.3989785707	0.5635924088	0.4748235638	0.2733627873	0.2511566424	0.03995082975
209	1.274652572	0.3993651013	0.5637794214	0.4750605548	0.2733680148	0.2513908014	0.04055299539
210	1.27442336	0.399641268	0.563874425	0.4753208292	0.2734034224	0.2510741434	0.04175621738
211	1.274241084	0.4008133444	0.5640571944	0.4753624778	0.273444053	0.2513637115	0.04115479115
212	1.273943656	0.4016252324	0.5643873012	0.4750914411	0.2729713103	0.2514052684	0.0423572744
213	1.273680137	0.4020097044	0.564471677	0.475345997	0.2731442636	0.2514329806	0.04115479115
214	1.273440085	0.4024490919	0.5647574493	0.4756079722	0.2733704315	0.2516388476	0.04055299539
215	1.273207294	0.4023395837	0.5648333867	0.4758734832	0.2733221477	0.251473261	0.04055299539
216	1.272907478	0.4022968745	0.5648099772	0.4758846562	0.2739749001	0.2515965646	0.03995082975
217	1.272697061	0.4023933152	0.5649051833	0.4759482554	0.2741142282	0.2519806338	0.04055299539
218	1.272498278	0.4026407179	0.5650514395	0.4758906592	0.2735659175	0.2522403651	0.04115479115
219	1.272312521	0.4028045092	0.5649356668	0.476001318	0.2740835941	0.2526686475	0.04295796257
220	1.27214546	0.4026125816	0.5648656847	0.4761102926	0.2741701129	0.2523801662	0.0423572744
221	1.271933452	0.4029568506	0.5650129756	0.476187861	0.2742863527	0.2522007042	0.0423572744
222	1.271728901	0.4027510316	0.5650551358	0.476099794	0.2748569035	0.2522701007	0.0423572744
223	1.27141586	0.403188127	0.5652686741	0.4763361295	0.2750858771	0.2525147035	0.0423572744
224	1.27118456	0.4038758891	0.5657445715	0.4766553714	0.2757696709	0.2532967033	0.04175621738
225	1.270850835	0.4042728584	0.5659073479	0.4767618664	0.2763025773	0.2535025548	0.04115479115
226	1.270616054	0.4044226213	0.5660116504	0.4767145866	0.2766224703	0.254363816	0.04114215536
227	1.270426122	0.40533864	0.5658751307	0.4766456977	0.2763528788	0.2542800702	0.04174340086
228	1.27024484	0.4051753724	0.5658748029	0.4766578468	0.2766646202	0.2543219362	0.04234427739
229	1.269939357	0.4056946827	0.5660724225	0.4768131868	0.2768372612	0.2533772652	0.04234427739
230	1.269612096	0.4062006996	0.5661574281	0.4770215454	0.2776368249	0.2536912015	0.0423572744
231	1.269432505	0.4062553586	0.5660721216	0.4772858386	0.2780718863	0.2536076818	0.04055299539
232	1.269161229	0.406282148	0.5661367625	0.4772608612	0.2785867417	0.2544278116	0.04055299539
233	1.268968711	0.4064761774	0.5664408238	0.4772816779	0.2779139737	0.2549739655	0.0423572744
234	1.26871255	0.4069667775	0.5667330341	0.4774374433	0.2786227645	0.2559018459	0.04415823367
235	1.268476179	0.4071445713	0.5668441077	0.4775282443	0.2788844622	0.2560788609	0.04355828221
236	1.268282467	0.4072094298	0.5669926506	0.4777672919	0.279235612	0.2560788609	0.04355828221
237	1.268001844	0.407125728	0.5670697235	0.4776997672	0.2801682123	0.2563990374	0.04475781729
238	1.267817778	0.4071802953	0.5671732471	0.4776721459	0.2805455051	0.2564803675	0.04474410052
239	1.267527509	0.4076559611	0.5672452932	0.4778853559	0.280513263	0.2569148355	0.04475781729
240	1.267187023	0.4082694414	0.5673335022	0.4779403675	0.2808423044	0.2567523237	0.04474410052
241	1.267058843	0.40848879	0.5674475914	0.4780228346	0.2814073147	0.2566178079	0.04594180704
242	1.266796119	0.4080682168	0.5674959492	0.4781452338	0.2812421808	0.2567944441	0.04532924962
243	1.266539064	0.4084902431	0.5678499688	0.4783410561	0.281191858	0.2575534065	0.04532924962
244	1.266254463	0.4090224535	0.5677332208	0.4784599433	0.282345107	0.2583747746	0.04591368228
245	1.265931279	0.4091406678	0.5680809036	0.4787907711	0.2826062826	0.2589637079	0.04651162791
246	1.265728518	0.409129795	0.5681538124	0.4789332159	0.2823751492	0.2588543944	0.04649739982
247	1.265573887	0.4091577975	0.5681538124	0.4789807982	0.2826853162	0.2590973664	0.04709480122
248	1.265332444	0.4095915715	0.5681866151	0.4791242269	0.2826292122	0.2582513661	0.04769183736
249	1.265044363	0.410606889	0.568204851	0.4790389486	0.2828602347	0.2582864632	0.04651162791
250	1.26483315	0.4113751195	0.5684135822	0.4796124344	0.2833273197	0.2587618736	0.04651162791
251	1.264637847	0.4117426182	0.5684614345	0.4796058788	0.283399012	0.2586423461	0.04770642202
252	1.264380891	0.4120116021	0.5686188368	0.4797393419	0.2834151891	0.2587053815	0.04830327117
253	1.264192151	0.4119995905	0.568655279	0.4797128589	0.2835825035	0.2583920092	0.04830327117
254	1.2639344	0.4120297672	0.5689694492	0.4803752387	0.2837237704	0.2586348011	0.04831804281
255	1.26369226	0.4121866248	0.5692357054	0.4805642029	0.2845494633	0.2581490581	0.04949587534
256	1.263581483	0.4121323906	0.5691990677	0.480569199	0.2844621956	0.258039858	0.04949587534
257	1.26332035	0.412773224	0.5693652604	0.4806558822	0.2844464167	0.2587015821	0.04949587534
258	1.263173774	0.4131221411	0.5693872036	0.4806378132	0.2844705687	0.2592814698	0.0488997555
259	1.262928552	0.4133483468	0.5696455865	0.4806365365	0.2850328628	0.2600076249	0.0477210156
260	1.262733349	0.4135907757	0.5697346418	0.4808703003	0.2849693507	0.260628164	0.05067155067
261	1.262500457	0.4134753225	0.5699590389	0.4809217115	0.2855004574	0.2600642807	0.05186089079
262	1.262240419	0.4136118506	0.5701375046	0.480846802	0.2858567945	0.2606044106	0.05128205128
263	1.261939808	0.4136236434	0.5702676905	0.4811815851	0.2874065873	0.2610542365	0.05070250458
264	1.261629551	0.414056636	0.570397783	0.4813197923	0.2875643367	0.2623557588	0.0506870229
265	1.261465075	0.4137695746	0.5703759411	0.4813551844	0.2874923936	0.2623932089	0.05009163103
266	1.261155515	0.4141107434	0.5704700255	0.4817742321	0.2877057115	0.2624877571	0.05128205128
267	1.260892791	0.4144377729	0.5705087037	0.4819192941	0.287973896	0.2621755455	0.05070250458
268	1.260721156	0.4148446294	0.5704507428	0.4817378674	0.2878155326	0.2621612798	0.0512664022
269	1.260429495	0.415140665	0.5705980277	0.4816112567	0.2882803217	0.2627514954	0.05243902439
270	1.260267107	0.4154019304	0.5707620923	0.4818782935	0.2883733775	0.2631063737	0.05242304176
271	1.26014907	0.4156782549	0.5707159525	0.482130382	0.2886045162	0.2632666377	0.05245501677
272	1.259885651	0.4156755836	0.5710179965	0.4821315289	0.2885178838	0.2626053848	0.05182926829
273	1.259664394	0.4156782549	0.5711484665	0.4823291326	0.2892977513	0.2639786991	0.05301645338
274	1.259519508	0.4155224694	0.5710325242	0.4824991491	0.2895587545	0.2644358738	0.05301645338
275	1.259175939	0.4166155941	0.5712763979	0.4829813665	0.2903929528	0.264879822	0.05303261201
276	1.259043881	0.4168283468	0.5713947551	0.4829927592	0.2901273797	0.2652197504	0.05303261201
277	1.258789908	0.4168141593	0.5715252002	0.4830150476	0.2906048977	0.2657342657	0.05243902439
278	1.258627819	0.4165616807	0.5716315055	0.4831324193	0.2904633055	0.2659441886	0.05184507472
279	1.258342024	0.4168112983	0.5717281915	0.4837293222	0.2913125069	0.2676696612	0.05303261201
280	1.258136778	0.4173694233	0.5718588203	0.4837477332	0.2914287291	0.2679073794	0.05243902439
281	1.257917013	0.4181935615	0.5720450488	0.484119824	0.2917413484	0.2679865844	0.05184507472
